売上年月日,社員番号,社員名,役職,部門番号,部門名,担当エリア,顧客番号,顧客名,売上金額
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29718,Weekend Tours,26037.0214
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29533,Small Cycle Store,3785.5031
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29491,Clamps & Brackets Co.,21090.7731
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29955,Catalog Store,41868.906
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29555,Tire Company,3427.4236
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29509,Retail Sales and Service,28557.875
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29961,Exotic Bikes,17871.4452
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29554,Field Trip Inc,3028.7107
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29675,Wholesale Bikes,5492.1791
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30091,Active Transport Inc.,26149.2498
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29664,Only Bikes and Accessories,4082.088
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29724,Lease-a-Bike Shop,22817.6077
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29731,Super Sports Store,838.9178
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29791,Leather and Vinyl Manufacturing,17451.416
2011-10-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29688,Handy Bike Services,2254.9498
2011-10-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29592,Painters Bicycle Specialists,6641.1311
2011-10-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29655,Full-Service Bike Store,6135.9224
2011-10-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29746,Bicycle Outfitters,42894.3431
2011-10-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29581,Modern Bike Store,29226.2517
2011-10-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29669,Famous Bike Sales and Service,2604.0653
2011-10-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29498,Metropolitan Sales and Rental,776.3569
2011-10-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29966,Larger Cycle Shop,59944.5457
2011-10-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29487,The Bike Mechanics,17107.4924
2011-12-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29566,Historic Bicycle Sales,6127.782
2011-12-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29973,Friendly Bike Shop,3007.9647
2011-12-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29844,Seventh Bike Store,19314.9998
2011-12-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29811,Trusted Catalog Store,38655.486
2011-12-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29759,Convenient Bike Shop,11121.1886
2011-12-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29610,Curbside Universe,3091.8551
2011-12-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29718,Weekend Tours,24552.133
2011-12-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29533,Small Cycle Store,5980.0532
2011-12-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29491,Clamps & Brackets Co.,12231.264
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29955,Catalog Store,24509.8281
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29555,Tire Company,5980.0532
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29509,Retail Sales and Service,29534.9446
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29554,Field Trip Inc,1713.7118
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29961,Exotic Bikes,14919.3015
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29675,Wholesale Bikes,6435.3883
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30091,Active Transport Inc.,22217.4964
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29664,Only Bikes and Accessories,20324.94
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29724,Lease-a-Bike Shop,11924.1917
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29731,Super Sports Store,4223.1928
2012-01-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29791,Leather and Vinyl Manufacturing,14048.0598
2012-01-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29592,Painters Bicycle Specialists,9421.2681
2012-01-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29655,Full-Service Bike Store,28469.916
2012-01-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29746,Bicycle Outfitters,22822.7804
2012-01-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29581,Modern Bike Store,25464.5848
2012-01-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29669,Famous Bike Sales and Service,3463.2998
2012-01-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29498,Metropolitan Sales and Rental,874.794
2012-01-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29487,The Bike Mechanics,8158.476
2012-01-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29966,Larger Cycle Shop,29325.8426
2012-02-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29566,Historic Bicycle Sales,10226.97
2012-02-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29973,Friendly Bike Shop,3391.5474
2012-02-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29844,Seventh Bike Store,26684.9956
2012-02-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29811,Trusted Catalog Store,59103.2933
2012-02-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29759,Convenient Bike Shop,9891.2909
2012-02-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29610,Curbside Universe,3524.0297
2012-02-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29718,Weekend Tours,24087.5253
2012-02-29,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29533,Small Cycle Store,6858.1844
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29955,Catalog Store,27802.9673
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29555,Tire Company,3456.264
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29509,Retail Sales and Service,30512.3991
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29554,Field Trip Inc,419.4589
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29961,Exotic Bikes,19030.7276
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29675,Wholesale Bikes,8543.0558
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30091,Active Transport Inc.,29446.7389
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29664,Only Bikes and Accessories,14189.958
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29724,Lease-a-Bike Shop,23312.9857
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29791,Leather and Vinyl Manufacturing,9550.926
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29731,Super Sports Store,3256.6148
2012-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29688,Handy Bike Services,2907.4796
2012-04-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29592,Painters Bicycle Specialists,4310.7413
2012-04-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29655,Full-Service Bike Store,8912.6663
2012-04-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29746,Bicycle Outfitters,33313.9702
2012-04-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29581,Modern Bike Store,23913.8927
2012-04-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29498,Metropolitan Sales and Rental,776.3569
2012-04-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29966,Larger Cycle Shop,46301.0029
2012-04-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29487,The Bike Mechanics,9090.4447
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30065,Immediate Repair Shop,36571.8493
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29844,Seventh Bike Store,50019.5321
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29973,Friendly Bike Shop,5687.3217
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29811,Trusted Catalog Store,7370.8413
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29647,Casual Bicycle Store,65721.6787
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30096,Classic Cycle Store,33293.8504
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29658,Grand Discount Store,45064.2667
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29718,Weekend Tours,684.03
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30109,Exhilarating Cycles,70717.297
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29533,Small Cycle Store,15797.0264
2012-05-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29594,Eastside Sporting Goods,88689.6425
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29955,Catalog Store,48300.3569
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29555,Tire Company,469.794
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30085,Bike Products and Accessories,33.7745
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29828,Traditional Department Stores,39027.0692
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29509,Retail Sales and Service,49220.1646
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29554,Field Trip Inc,4313.4232
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29961,Exotic Bikes,324.4527
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29684,Grand Sport Boutique,15853.6146
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29633,Riverside Company,6532.5325
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30060,Executive Gift Store,54859.4922
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29765,Blue Bicycle Company,2371.295
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29724,Lease-a-Bike Shop,69729.7597
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30009,Guaranteed Sales and Service,16742.0274
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29619,Mechanical Sports Center,1444.3375
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29543,Bike Boutique,17146.5426
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29590,Metro Bike Works,2554.0856
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29731,Super Sports Store,6803.6883
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29836,Fitness Sport Boutique,59518.7599
2012-06-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29947,Wheelsets Storehouse,46021.1798
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29592,Painters Bicycle Specialists,11056.6441
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29528,Work and Play Association,183.9382
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29891,"Fabrikam Inc., West",32887.0262
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29701,Outdoor Equipment Store,146154.5653
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29707,Sales and Supply Company,103299.6849
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29746,Bicycle Outfitters,9146.6459
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29581,Modern Bike Store,469.794
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29669,Famous Bike Sales and Service,7200.2181
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29838,Recreation Systems,379.467
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29966,Larger Cycle Shop,65150.7457
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29487,The Bike Mechanics,2269.2651
2012-07-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29600,Online Bike Sellers,6423.515
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30065,Immediate Repair Shop,41365.4632
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29973,Friendly Bike Shop,7719.321
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29844,Seventh Bike Store,47948.7516
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29811,Trusted Catalog Store,1692.4137
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29647,Casual Bicycle Store,51197.9881
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29658,Grand Discount Store,29731.4902
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29610,Curbside Universe,183.9382
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29718,Weekend Tours,67.539
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29533,Small Cycle Store,3863.8275
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30109,Exhilarating Cycles,48997.224
2012-08-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29594,Eastside Sporting Goods,86493.3807
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29955,Catalog Store,38499.6136
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30085,Bike Products and Accessories,273.0916
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29509,Retail Sales and Service,49380.0704
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29828,Traditional Department Stores,40041.8772
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29961,Exotic Bikes,469.794
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29554,Field Trip Inc,1597.9839
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29684,Grand Sport Boutique,14495.9644
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29675,Wholesale Bikes,4610.739
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29633,Riverside Company,7516.704
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29996,Fashionable Department Stores,36304.538
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30060,Executive Gift Store,35564.8016
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29765,Blue Bicycle Company,20.1865
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29724,Lease-a-Bike Shop,46280.8779
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30009,Guaranteed Sales and Service,15617.7534
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29619,Mechanical Sports Center,325.8977
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29543,Bike Boutique,33644.3587
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29731,Super Sports Store,10244.7396
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29836,Fitness Sport Boutique,64525.5304
2012-09-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29947,Wheelsets Storehouse,39668.0599
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29536,Kickstand Sellers,383.052
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29592,Painters Bicycle Specialists,9342.1184
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29528,Work and Play Association,600.2625
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29891,"Fabrikam Inc., West",33557.6539
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29701,Outdoor Equipment Store,100452.5877
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29600,Online Bike Sellers,8699.9626
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29746,Bicycle Outfitters,11084.5422
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29581,Modern Bike Store,183.9382
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29669,Famous Bike Sales and Service,4039.3958
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29726,Active Cycling,1409.382
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29966,Larger Cycle Shop,50378.9269
2012-10-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29487,The Bike Mechanics,2485.7036
2012-11-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30039,Gift and Toy Store,7046.91
2012-11-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29827,First Bike Store,80097.995
2012-11-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29772,Modular Cycle Systems,80857.134
2012-11-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29937,Go-cart and Bike Specialists,8874.407
2012-11-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29654,This Area Sporting Goods,1548.5749
2012-11-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29646,Fitness Toy Store,46261.8667
2012-11-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29920,Specialty Sports Store,197.976
2012-11-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29570,Grease and Oil Products Company,4228.146
2012-12-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30032,Black Bicycle Company,1242.8518
2012-12-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29583,Lots of Bikes Storehouse,647.994
2012-12-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29593,Client Discount Store,343.996
2012-12-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30055,Bicycle Lines Distributors,22243.3338
2012-12-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30117,Totes & Baskets Company,78580.1157
2012-12-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29732,Satin Finish Company,24252.0932
2012-12-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29569,Travel Systems,1416.8495
2012-12-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29523,The Gear Store,62702.5353
2012-12-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30095,Swift Cycles,1308.9375
2012-12-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29819,The Accessories Store,489.9805
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30106,Solid Bike Parts,6509.2516
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30003,Practical Bike Supply Company,1275.0469
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29535,Grand Bicycle Stores,2539.6638
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29486,Riders Company,41071.8424
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29758,Cash & Carry Bikes,2472.3107
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29884,Extras Sporting Goods,67.539
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29663,Local Hardware Factory,7046.91
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29659,Genuine Bike Shop,183.9382
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30118,World of Bikes,32712.378
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29651,Good Bike Shop,41602.4379
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29743,Summer Sports Place,22.794
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30046,Extraordinary Bike Works,29669.6029
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29954,Elite Bikes,22612.411
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29574,Third Bike Store,2348.97
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29962,Fitness Hotel,417.9682
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29702,Paint Supply,26461.1006
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29872,A Great Bicycle Company,469.794
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29637,Advanced Bike Components,23383.1281
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29956,Chic Department Stores,17254.0031
2013-01-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29635,Responsible Bike Dealers,2527.2998
2013-02-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29772,Modular Cycle Systems,78175.0524
2013-02-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30039,Gift and Toy Store,4226.4567
2013-02-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29827,First Bike Store,89596.3322
2013-02-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29937,Go-cart and Bike Specialists,37216.7222
2013-02-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29654,This Area Sporting Goods,4030.2867
2013-02-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29782,Active Systems,339.7375
2013-02-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29920,Specialty Sports Store,57.6808
2013-02-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29646,Fitness Toy Store,97791.621
2013-02-28,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29570,Grease and Oil Products Company,3502.5609
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30117,Totes & Baskets Company,94673.1417
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30055,Bicycle Lines Distributors,26985.2625
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30023,Orange Bicycle Company,448.7518
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30032,Black Bicycle Company,1229.4589
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29930,Largest Bike Store,45
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29593,Client Discount Store,86.5212
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29569,Travel Systems,2184.6753
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29792,Genial Bike Associates,33591.9302
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29616,Sheet Metal Manufacturing,105310.5088
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29732,Satin Finish Company,41211.6058
2013-03-30,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30095,Swift Cycles,198.036
